Jurisdiction,Value,Race/ ethnicity,Year,Measure
Worcester,39.9,All races/ ethnicities (aggregated),2016,Flu vaccination
State,35.2,Black Non-Hispanic,2016,Flu vaccination
Allegany,,Black Non-Hispanic,2016,Flu vaccination
Anne Arundel,39.8,Black Non-Hispanic,2016,Flu vaccination
Baltimore City,40.4,Black Non-Hispanic,2016,Flu vaccination
Baltimore County,42.2,Black Non-Hispanic,2016,Flu vaccination
Calvert,,Black Non-Hispanic,2016,Flu vaccination
Caroline,,Black Non-Hispanic,2016,Flu vaccination
Carroll,,Black Non-Hispanic,2016,Flu vaccination
Cecil,,Black Non-Hispanic,2016,Flu vaccination
Charles,31.2,Black Non-Hispanic,2016,Flu vaccination
Dorchester,32.3,Black Non-Hispanic,2016,Flu vaccination
Frederick,43.2,Black Non-Hispanic,2016,Flu vaccination
Garrett,,Black Non-Hispanic,2016,Flu vaccination
Harford,52.1,Black Non-Hispanic,2016,Flu vaccination
Howard,33.8,Black Non-Hispanic,2016,Flu vaccination
Kent,,Black Non-Hispanic,2016,Flu vaccination
Montgomery,36.0,Black Non-Hispanic,2016,Flu vaccination
Prince George's,30.1,Black Non-Hispanic,2016,Flu vaccination
Queen Anne's,,Black Non-Hispanic,2016,Flu vaccination
Saint Mary's,,Black Non-Hispanic,2016,Flu vaccination
Somerset,,Black Non-Hispanic,2016,Flu vaccination
Talbot,,Black Non-Hispanic,2016,Flu vaccination
Washington,,Black Non-Hispanic,2016,Flu vaccination
Wicomico,19.8,Black Non-Hispanic,2016,Flu vaccination
Worcester,,Black Non-Hispanic,2016,Flu vaccination
State,30.3,Hispanic,2016,Flu vaccination
Allegany,,Hispanic,2016,Flu vaccination
Anne Arundel,,Hispanic,2016,Flu vaccination
Baltimore City,,Hispanic,2016,Flu vaccination
Baltimore County,47.7,Hispanic,2016,Flu vaccination
Calvert,,Hispanic,2016,Flu vaccination
Caroline,,Hispanic,2016,Flu vaccination
Carroll,,Hispanic,2016,Flu vaccination
Cecil,,Hispanic,2016,Flu vaccination
Charles,,Hispanic,2016,Flu vaccination
Dorchester,,Hispanic,2016,Flu vaccination
Frederick,,Hispanic,2016,Flu vaccination
Garrett,,Hispanic,2016,Flu vaccination
Harford,,Hispanic,2016,Flu vaccination
Howard,,Hispanic,2016,Flu vaccination
Kent,,Hispanic,2016,Flu vaccination
Montgomery,32.0,Hispanic,2016,Flu vaccination
Prince George's,24.9,Hispanic,2016,Flu vaccination
Queen Anne's,,Hispanic,2016,Flu vaccination
Saint Mary's,,Hispanic,2016,Flu vaccination
Somerset,,Hispanic,2016,Flu vaccination
Talbot,,Hispanic,2016,Flu vaccination
Washington,,Hispanic,2016,Flu vaccination
Wicomico,,Hispanic,2016,Flu vaccination
Worcester,,Hispanic,2016,Flu vaccination
State,49.4,White Non-Hispanic,2016,Flu vaccination
Allegany,38.1,White Non-Hispanic,2016,Flu vaccination
Anne Arundel,52.7,White Non-Hispanic,2016,Flu vaccination
Baltimore City,52.9,White Non-Hispanic,2016,Flu vaccination
Baltimore County,48.3,White Non-Hispanic,2016,Flu vaccination
Calvert,39.5,White Non-Hispanic,2016,Flu vaccination
Caroline,40.8,White Non-Hispanic,2016,Flu vaccination
Carroll,42.0,White Non-Hispanic,2016,Flu vaccination
Cecil,34.9,White Non-Hispanic,2016,Flu vaccination
Charles,47.2,White Non-Hispanic,2016,Flu vaccination
Dorchester,43.0,White Non-Hispanic,2016,Flu vaccination
Frederick,45.6,White Non-Hispanic,2016,Flu vaccination
Garrett,30.6,White Non-Hispanic,2016,Flu vaccination
Harford,49.5,White Non-Hispanic,2016,Flu vaccination
Howard,58.1,White Non-Hispanic,2016,Flu vaccination
Kent,42.3,White Non-Hispanic,2016,Flu vaccination
Montgomery,60.0,White Non-Hispanic,2016,Flu vaccination
Prince George's,53.4,White Non-Hispanic,2016,Flu vaccination
Queen Anne's,42.8,White Non-Hispanic,2016,Flu vaccination
Saint Mary's,45.9,White Non-Hispanic,2016,Flu vaccination
Somerset,48.0,White Non-Hispanic,2016,Flu vaccination
Talbot,52.4,White Non-Hispanic,2016,Flu vaccination
Washington,34.9,White Non-Hispanic,2016,Flu vaccination
Wicomico,44.9,White Non-Hispanic,2016,Flu vaccination
Worcester,44.6,White Non-Hispanic,2016,Flu vaccination
State,44.6,Asian Non-Hispanic,2016,Flu vaccination
Allegany,,Asian Non-Hispanic,2016,Flu vaccination
Anne Arundel,,Asian Non-Hispanic,2016,Flu vaccination
Baltimore City,,Asian Non-Hispanic,2016,Flu vaccination
Baltimore County,,Asian Non-Hispanic,2016,Flu vaccination
Calvert,,Asian Non-Hispanic,2016,Flu vaccination
Caroline,,Asian Non-Hispanic,2016,Flu vaccination
Carroll,,Asian Non-Hispanic,2016,Flu vaccination
Cecil,,Asian Non-Hispanic,2016,Flu vaccination
Charles,,Asian Non-Hispanic,2016,Flu vaccination
Dorchester,,Asian Non-Hispanic,2016,Flu vaccination
Frederick,,Asian Non-Hispanic,2016,Flu vaccination
Garrett,,Asian Non-Hispanic,2016,Flu vaccination
Harford,,Asian Non-Hispanic,2016,Flu vaccination
Howard,65.1,Asian Non-Hispanic,2016,Flu vaccination
Kent,,Asian Non-Hispanic,2016,Flu vaccination
Montgomery,44.1,Asian Non-Hispanic,2016,Flu vaccination
Prince George's,,Asian Non-Hispanic,2016,Flu vaccination
Queen Anne's,,Asian Non-Hispanic,2016,Flu vaccination
Saint Mary's,,Asian Non-Hispanic,2016,Flu vaccination
Somerset,,Asian Non-Hispanic,2016,Flu vaccination
Talbot,,Asian Non-Hispanic,2016,Flu vaccination
Washington,,Asian Non-Hispanic,2016,Flu vaccination
Wicomico,,Asian Non-Hispanic,2016,Flu vaccination
Worcester,,Asian Non-Hispanic,2016,Flu vaccination
State,42.9,All races/ ethnicities (aggregated),2015,Flu Vaccination
Allegany,41.3,All races/ ethnicities (aggregated),2015,Flu vaccination
Anne Arundel,46.1,All races/ ethnicities (aggregated),2015,Flu vaccination
Baltimore City,39.1,All races/ ethnicities (aggregated),2015,Flu vaccination
Baltimore County,46.5,All races/ ethnicities (aggregated),2015,Flu vaccination
Calvert,43.4,All races/ ethnicities (aggregated),2015,Flu vaccination
Caroline,38.3,All races/ ethnicities (aggregated),2015,Flu vaccination
Carroll,36.8,All races/ ethnicities (aggregated),2015,Flu vaccination
Cecil,39.1,All races/ ethnicities (aggregated),2015,Flu vaccination
Charles,41.5,All races/ ethnicities (aggregated),2015,Flu vaccination
Dorchester,53.3,All races/ ethnicities (aggregated),2015,Flu vaccination
Frederick,41.3,All races/ ethnicities (aggregated),2015,Flu vaccination
Garrett,31.7,All races/ ethnicities (aggregated),2015,Flu vaccination
Harford,43.3,All races/ ethnicities (aggregated),2015,Flu vaccination
Howard,53.5,All races/ ethnicities (aggregated),2015,Flu vaccination
Kent,31.5,All races/ ethnicities (aggregated),2015,Flu vaccination
Montgomery,50.7,All races/ ethnicities (aggregated),2015,Flu vaccination
Prince George's,32.9,All races/ ethnicities (aggregated),2015,Flu vaccination
Queen Anne's,36.4,All races/ ethnicities (aggregated),2015,Flu vaccination
Saint Mary's,42.1,All races/ ethnicities (aggregated),2015,Flu vaccination
Somerset,34.5,All races/ ethnicities (aggregated),2015,Flu vaccination
Talbot,46.3,All races/ ethnicities (aggregated),2015,Flu vaccination
Washington,29.0,All races/ ethnicities (aggregated),2015,Flu vaccination
Wicomico,51.4,All races/ ethnicities (aggregated),2015,Flu vaccination
Worcester,25.6,All races/ ethnicities (aggregated),2015,Flu vaccination
State,32.1,Black Non-Hispanic,2015,Flu vaccination
Allegany,,Black Non-Hispanic,2015,Flu vaccination
Anne Arundel,36.4,Black Non-Hispanic,2015,Flu vaccination
Baltimore City,32.6,Black Non-Hispanic,2015,Flu vaccination
Baltimore County,32.5,Black Non-Hispanic,2015,Flu vaccination
Calvert,,Black Non-Hispanic,2015,Flu vaccination
Caroline,,Black Non-Hispanic,2015,Flu vaccination
Carroll,,Black Non-Hispanic,2015,Flu vaccination
Cecil,,Black Non-Hispanic,2015,Flu vaccination
Charles,28.0,Black Non-Hispanic,2015,Flu vaccination
Dorchester,,Black Non-Hispanic,2015,Flu vaccination
Frederick,,Black Non-Hispanic,2015,Flu vaccination
Garrett,,Black Non-Hispanic,2015,Flu vaccination
Harford,,Black Non-Hispanic,2015,Flu vaccination
Howard,49.4,Black Non-Hispanic,2015,Flu vaccination
Kent,,Black Non-Hispanic,2015,Flu vaccination
Montgomery,37.2,Black Non-Hispanic,2015,Flu vaccination
Prince George's,27.7,Black Non-Hispanic,2015,Flu vaccination
Queen Anne's,,Black Non-Hispanic,2015,Flu vaccination
Saint Mary's,,Black Non-Hispanic,2015,Flu vaccination
Somerset,,Black Non-Hispanic,2015,Flu vaccination
Talbot,,Black Non-Hispanic,2015,Flu vaccination
Washington,,Black Non-Hispanic,2015,Flu vaccination
Wicomico,,Black Non-Hispanic,2015,Flu vaccination
Worcester,,Black Non-Hispanic,2015,Flu vaccination
State,37.0,Hispanic,2015,Flu vaccination
Allegany,,Hispanic,2015,Flu vaccination
Anne Arundel,,Hispanic,2015,Flu vaccination
Baltimore City,,Hispanic,2015,Flu vaccination
Baltimore County,,Hispanic,2015,Flu vaccination
Calvert,,Hispanic,2015,Flu vaccination
Caroline,,Hispanic,2015,Flu vaccination
Carroll,,Hispanic,2015,Flu vaccination
Cecil,,Hispanic,2015,Flu vaccination
Charles,,Hispanic,2015,Flu vaccination
Dorchester,,Hispanic,2015,Flu vaccination
Frederick,,Hispanic,2015,Flu vaccination
Garrett,,Hispanic,2015,Flu vaccination
Harford,,Hispanic,2015,Flu vaccination
Howard,,Hispanic,2015,Flu vaccination
Kent,,Hispanic,2015,Flu vaccination
Montgomery,41.1,Hispanic,2015,Flu vaccination
Prince George's,,Hispanic,2015,Flu vaccination
Queen Anne's,,Hispanic,2015,Flu vaccination
Saint Mary's,,Hispanic,2015,Flu vaccination
Somerset,,Hispanic,2015,Flu vaccination
Talbot,,Hispanic,2015,Flu vaccination
Washington,,Hispanic,2015,Flu vaccination
Wicomico,,Hispanic,2015,Flu vaccination
Worcester,,Hispanic,2015,Flu vaccination
Allegany,44.7,White Non-Hispanic,2015,Flu vaccination
Anne Arundel,49.2,White Non-Hispanic,2015,Flu vaccination
Baltimore City,45.6,White Non-Hispanic,2015,Flu vaccination
Baltimore County,53.2,White Non-Hispanic,2015,Flu vaccination
Calvert,48.0,White Non-Hispanic,2015,Flu vaccination
Caroline,42.8,White Non-Hispanic,2015,Flu vaccination
Carroll,40.6,White Non-Hispanic,2015,Flu vaccination
Cecil,40.4,White Non-Hispanic,2015,Flu vaccination
Charles,46.9,White Non-Hispanic,2015,Flu vaccination
Dorchester,45.1,White Non-Hispanic,2015,Flu vaccination
Frederick,45.1,White Non-Hispanic,2015,Flu vaccination
Garrett,35.5,White Non-Hispanic,2015,Flu vaccination
Harford,42.4,White Non-Hispanic,2015,Flu vaccination
Howard,54.5,White Non-Hispanic,2015,Flu vaccination
Kent,40.0,White Non-Hispanic,2015,Flu vaccination
Montgomery,60.8,White Non-Hispanic,2015,Flu vaccination
Prince George's,52.9,White Non-Hispanic,2015,Flu vaccination
Queen Anne's,37.9,White Non-Hispanic,2015,Flu vaccination
Saint Mary's,39.9,White Non-Hispanic,2015,Flu vaccination
Somerset,38.3,White Non-Hispanic,2015,Flu vaccination
Talbot,51.2,White Non-Hispanic,2015,Flu vaccination
Washington,31.7,White Non-Hispanic,2015,Flu vaccination
Wicomico,58.8,White Non-Hispanic,2015,Flu vaccination
Worcester,24.2,White Non-Hispanic,2015,Flu vaccination
Allegany,,Asian Non-Hispanic,2015,Flu vaccination
Anne Arundel,,Asian Non-Hispanic,2015,Flu vaccination
Baltimore City,,Asian Non-Hispanic,2015,Flu vaccination
Baltimore County,,Asian Non-Hispanic,2015,Flu vaccination
Calvert,,Asian Non-Hispanic,2015,Flu vaccination
Caroline,,Asian Non-Hispanic,2015,Flu vaccination
Carroll,,Asian Non-Hispanic,2015,Flu vaccination
Cecil,,Asian Non-Hispanic,2015,Flu vaccination
Charles,,Asian Non-Hispanic,2015,Flu vaccination
Dorchester,,Asian Non-Hispanic,2015,Flu vaccination
Frederick,,Asian Non-Hispanic,2015,Flu vaccination
Garrett,,Asian Non-Hispanic,2015,Flu vaccination
Harford,,Asian Non-Hispanic,2015,Flu vaccination
Howard,,Asian Non-Hispanic,2015,Flu vaccination
Kent,,Asian Non-Hispanic,2015,Flu vaccination
Montgomery,52.8,Asian Non-Hispanic,2015,Flu vaccination
Prince George's,,Asian Non-Hispanic,2015,Flu vaccination
Queen Anne's,,Asian Non-Hispanic,2015,Flu vaccination
Saint Mary's,,Asian Non-Hispanic,2015,Flu vaccination
Somerset,,Asian Non-Hispanic,2015,Flu vaccination
Talbot,,Asian Non-Hispanic,2015,Flu vaccination
Washington,,Asian Non-Hispanic,2015,Flu vaccination
Wicomico,,Asian Non-Hispanic,2015,Flu vaccination
Worcester,,Asian Non-Hispanic,2015,Flu vaccination
State,41.7,All races/ ethnicities (aggregated),2014,Flu vaccination
Allegany,35.1,All races/ ethnicities (aggregated),2014,Flu vaccination
Anne Arundel,44.5,All races/ ethnicities (aggregated),2014,Flu vaccination
Baltimore City,42.2,All races/ ethnicities (aggregated),2014,Flu vaccination
Baltimore County,46.4,All races/ ethnicities (aggregated),2014,Flu vaccination
Calvert,38.4,All races/ ethnicities (aggregated),2014,Flu vaccination
Caroline,33.6,All races/ ethnicities (aggregated),2014,Flu vaccination
Carroll,37.5,All races/ ethnicities (aggregated),2014,Flu vaccination
Cecil,41.4,All races/ ethnicities (aggregated),2014,Flu vaccination
Charles,36.7,All races/ ethnicities (aggregated),2014,Flu vaccination
Dorchester,38.2,All races/ ethnicities (aggregated),2014,Flu vaccination
Frederick,41.8,All races/ ethnicities (aggregated),2014,Flu vaccination
Garrett,36.7,All races/ ethnicities (aggregated),2014,Flu vaccination
Harford,41.7,All races/ ethnicities (aggregated),2014,Flu vaccination
Howard,45.9,All races/ ethnicities (aggregated),2014,Flu vaccination
Kent,42.4,All races/ ethnicities (aggregated),2014,Flu vaccination
Montgomery,45.8,All races/ ethnicities (aggregated),2014,Flu vaccination
Prince George's,34.4,All races/ ethnicities (aggregated),2014,Flu vaccination
Queen Anne's,43.4,All races/ ethnicities (aggregated),2014,Flu vaccination
Saint Mary's,42.7,All races/ ethnicities (aggregated),2014,Flu vaccination
Somerset,29.5,All races/ ethnicities (aggregated),2014,Flu vaccination
Talbot,47.1,All races/ ethnicities (aggregated),2014,Flu vaccination
Washington,35.5,All races/ ethnicities (aggregated),2014,Flu vaccination
Wicomico,34.3,All races/ ethnicities (aggregated),2014,Flu vaccination
Worcester,42.6,All races/ ethnicities (aggregated),2014,Flu vaccination
State,39.0,Black Non-Hispanic,2014,Flu vaccination
Allegany,,Black Non-Hispanic,2014,Flu vaccination
Anne Arundel,35.4,Black Non-Hispanic,2014,Flu vaccination
Baltimore City,45.0,Black Non-Hispanic,2014,Flu vaccination
Baltimore County,41.3,Black Non-Hispanic,2014,Flu vaccination
Calvert,,Black Non-Hispanic,2014,Flu vaccination
Caroline,,Black Non-Hispanic,2014,Flu vaccination
Carroll,,Black Non-Hispanic,2014,Flu vaccination
Cecil,,Black Non-Hispanic,2014,Flu vaccination
Charles,31.6,Black Non-Hispanic,2014,Flu vaccination
Dorchester,,Black Non-Hispanic,2014,Flu vaccination
Frederick,,Black Non-Hispanic,2014,Flu vaccination
Garrett,,Black Non-Hispanic,2014,Flu vaccination
Harford,,Black Non-Hispanic,2014,Flu vaccination
Howard,42.4,Black Non-Hispanic,2014,Flu vaccination
Kent,,Black Non-Hispanic,2014,Flu vaccination
Montgomery,41.3,Black Non-Hispanic,2014,Flu vaccination
Prince George's,35.7,Black Non-Hispanic,2014,Flu vaccination
Queen Anne's,,Black Non-Hispanic,2014,Flu vaccination
Saint Mary's,,Black Non-Hispanic,2014,Flu vaccination
Somerset,,Black Non-Hispanic,2014,Flu vaccination
Talbot,,Black Non-Hispanic,2014,Flu vaccination
Washington,,Black Non-Hispanic,2014,Flu vaccination
Wicomico,19.1,Black Non-Hispanic,2014,Flu vaccination
Worcester,,Black Non-Hispanic,2014,Flu vaccination
State,27.0,Hispanic,2014,Flu vaccination
Allegany,,Hispanic,2014,Flu vaccination
Anne Arundel,,Hispanic,2014,Flu vaccination
Baltimore City,,Hispanic,2014,Flu vaccination
Baltimore County,,Hispanic,2014,Flu vaccination
Calvert,,Hispanic,2014,Flu vaccination
Caroline,,Hispanic,2014,Flu vaccination
Carroll,,Hispanic,2014,Flu vaccination
Cecil,,Hispanic,2014,Flu vaccination
Charles,,Hispanic,2014,Flu vaccination
Dorchester,,Hispanic,2014,Flu vaccination
Frederick,,Hispanic,2014,Flu vaccination
Garrett,,Hispanic,2014,Flu vaccination
Harford,,Hispanic,2014,Flu vaccination
Howard,,Hispanic,2014,Flu vaccination
Kent,,Hispanic,2014,Flu vaccination
Montgomery,40.2,Hispanic,2014,Flu vaccination
Prince George's,12.1,Hispanic,2014,Flu vaccination
Queen Anne's,,Hispanic,2014,Flu vaccination
Saint Mary's,,Hispanic,2014,Flu vaccination
Somerset,,Hispanic,2014,Flu vaccination
Talbot,,Hispanic,2014,Flu vaccination
Washington,,Hispanic,2014,Flu vaccination
Wicomico,,Hispanic,2014,Flu vaccination
Worcester,,Hispanic,2014,Flu vaccination
State,45.4,White Non-Hispanic,2014,Flu vaccination
Allegany,36.4,White Non-Hispanic,2014,Flu vaccination
Anne Arundel,45.3,White Non-Hispanic,2014,Flu vaccination
Baltimore City,40.2,White Non-Hispanic,2014,Flu vaccination
Baltimore County,49.6,White Non-Hispanic,2014,Flu vaccination
Calvert,40.1,White Non-Hispanic,2014,Flu vaccination
Caroline,32.1,White Non-Hispanic,2014,Flu vaccination
Carroll,39.1,White Non-Hispanic,2014,Flu vaccination
Cecil,40.9,White Non-Hispanic,2014,Flu vaccination
Charles,45.1,White Non-Hispanic,2014,Flu vaccination
Dorchester,41.8,White Non-Hispanic,2014,Flu vaccination
Frederick,43.7,White Non-Hispanic,2014,Flu vaccination
Garrett,37.1,White Non-Hispanic,2014,Flu vaccination
Harford,41.8,White Non-Hispanic,2014,Flu vaccination
Howard,48.3,White Non-Hispanic,2014,Flu vaccination
Kent,43.0,White Non-Hispanic,2014,Flu vaccination
Montgomery,51.7,White Non-Hispanic,2014,Flu vaccination
Prince George's,54.1,White Non-Hispanic,2014,Flu vaccination
Queen Anne's,41.1,White Non-Hispanic,2014,Flu vaccination
Saint Mary's,44.1,White Non-Hispanic,2014,Flu vaccination
Somerset,30.4,White Non-Hispanic,2014,Flu vaccination
Talbot,49.0,White Non-Hispanic,2014,Flu vaccination
